Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita,RTCenters_m,Linac_m,Protontherapy_m,XRay_m,Brachytherapy_m
Lung,Male,Mortality,2012,37.73368167,71.92685454,4.518266489,22311,France,Western Europe,168,570,4,2,90,2023,64058465.0,31019013.0,33039453.0,40863.5814412333,2.622604210075905,8.898121427043248,0.062442957382759644,0.031221478691379822,1.404966541112092
Lung,Male,Mortality,2013,36.99244922,71.16293138,4.526057605,22190,France,Western Europe,168,570,4,2,90,2023,64387734.0,31181964.0,33205770.0,42669.1795111893,2.6091926142330153,8.852617798290588,0.06212363367221465,0.031061816836107325,1.3977817576248295
Lung,Male,Mortality,2014,36.69137078,71.86088927,4.433462383,22509,France,Western Europe,168,570,4,2,90,2023,64692493.0,31323019.0,33369474.000000004,43148.0459288416,2.5969010036450446,8.810914119509972,0.06183097627726296,0.03091548813863148,1.3911969662384167
Lung,Male,Mortality,2015,36.37620631,72.34507493,4.430292151,22728,France,Western Europe,168,570,4,2,90,2023,64916336.0,31416099.0,33500238.0,36702.4323733379,2.5879464300018413,8.78053253036339,0.06161777214290098,0.03080888607145049,1.386399873215272
Lung,Male,Mortality,2016,34.80290474,70.86119301,4.23166448,22322,France,Western Europe,168,570,4,2,90,2023,65086855.0,31501022.0,33585834.0,37024.2157133669,2.5811663507170532,8.75752868993286,0.06145634168373937,0.030728170841869684,1.3827676878841357
Lung,Male,Mortality,2017,32.79133452,68.23166881,4.013106738,21565,France,Western Europe,168,570,4,2,90,2023,65284776.0,31605558.0,33679217.0,38687.1626407164,2.573341141585597,8.730978873236849,0.061270027180609456,0.030635013590304728,1.3785756115637129
Lung,Male,Mortality,2018,31.90302494,67.58290929,3.891649658,21438,France,Western Europe,168,570,4,2,90,2023,65519543.0,31721037.0,33798505.0,41418.1766484844,2.5641204487644247,8.69969437973644,0.06105048687534343,0.030525243437671715,1.3736359546952273
Lung,Male,Mortality,2019,30.00835399,65.05954511,3.652525779,20710,France,Western Europe,168,570,4,2,90,2023,65729459.0,31832377.0,33897082.0,40408.2848574751,2.555931580084966,8.671910718145421,0.06085551381154681,0.030427756905773404,1.3692490607598031
Lung,Male,Mortality,2020,29.41237786,65.04562873,3.588402143,20765,France,Western Europe,168,570,4,2,90,2023,65905277.0,31923744.0,33981533.0,39169.8606000707,2.5491130247430718,8.648776333949707,0.06069316725578743,0.030346583627893716,1.365596263255217
Lung,Male,Mortality,2021,28.24321013,63.29552187,3.442979823,20265,France,Western Europe,168,570,4,2,90,2023,66083547.99999999,32016483.0,34067065.0,43725.0999521245,2.5422363823443623,8.625444868668373,0.060529437674865766,0.030264718837432883,1.3619123476844797
Lung,Male,Mortality,2022,27.6332503,63.33098172,3.397045857,20340,France,Western Europe,168,570,4,2,90,2023,66277409.0,32116982.0,34160427.0,40988.6396406579,2.534800357086983,8.600215497259406,0.060352389454451975,0.030176194727225988,1.3579287627251693
Lung,Female,Mortality,2007,10.07105841,20.17310399,1.147616128,6497,France,Western Europe,168,570,4,2,90,2023,62432439.0,30226191.0,32206249.0,41486.1907828787,2.690908807839463,9.129869169455322,0.06406925732951103,0.03203462866475552,1.441558289913998
Lung,Female,Mortality,2008,10.5859407,21.11458907,1.217908546,6838,France,Western Europe,168,570,4,2,90,2023,62780190.0,30394999.0,32385191.0,45464.8181385158,2.6760033698528147,9.07929714771491,0.06371436594887654,0.03185718297443827,1.4335732338497225
Lung,Female,Mortality,2009,11.01376479,22.46530296,1.266599348,7313,France,Western Europe,168,570,4,2,90,2023,63106463.0,30554042.0,32552421.0,41728.0884164132,2.6621678987142725,9.032355370637712,0.06338494996938744,0.03169247498469372,1.4261613743112176
Lung,Female,Mortality,2010,11.0186667,22.68219995,1.269709839,7419,France,Western Europe,168,570,4,2,90,2023,63417363.0,30708895.0,32708467.0,40694.8211697025,2.6491167726415874,8.98807476431967,0.06307420887241874,0.03153710443620937,1.4191696996294216
Lung,Female,Mortality,2011,11.26741201,23.22009796,1.319828566,7633,France,Western Europe,168,570,4,2,90,2023,63733777.0,30861392.0,32872385.000000004,43929.7840873812,2.635964913863492,8.94345238632256,0.06276106937770218,0.03138053468885109,1.4121240609982992
Lung,Female,Mortality,2012,11.92663043,24.95804032,1.388160462,8246,France,Western Europe,168,570,4,2,90,2023,64058465.0,31019013.0,33039453.0,40863.5814412333,2.622604210075905,8.898121427043248,0.062442957382759644,0.031221478691379822,1.404966541112092
Lung,Female,Mortality,2013,11.41636354,24.15544082,1.348874274,8021,France,Western Europe,168,570,4,2,90,2023,64387734.0,31181964.0,33205770.0,42669.1795111893,2.6091926142330153,8.852617798290588,0.06212363367221465,0.031061816836107325,1.3977817576248295
Lung,Female,Mortality,2014,12.50770309,26.68307008,1.492411475,8904,France,Western Europe,168,570,4,2,90,2023,64692493.0,31323019.0,33369474.000000004,43148.0459288416,2.5969010036450446,8.810914119509972,0.06183097627726296,0.03091548813863148,1.3911969662384167
Lung,Female,Mortality,2015,12.48697611,27.02965912,1.504917449,9055,France,Western Europe,168,570,4,2,90,2023,64916336.0,31416099.0,33500238.0,36702.4323733379,2.5879464300018413,8.78053253036339,0.06161777214290098,0.03080888607145049,1.386399873215272
Lung,Female,Mortality,2016,12.35142502,27.42525357,1.474113526,9211,France,Western Europe,168,570,4,2,90,2023,65086855.0,31501022.0,33585834.0,37024.2157133669,2.5811663507170532,8.75752868993286,0.06145634168373937,0.030728170841869684,1.3827676878841357
