Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Country,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita
Breast,Female,Incidence,2022,84.73814013,150.8229298,9.475295231,7854,Sweden,Sweden,Northern Europe,18,80,1,27,23,2024,10487338.0,5279778.0,5207560.0,54836.8907235124
Breast,Female,Mortality,2022,10.01135518,26.38539908,1.05364016,1374,Sweden,Sweden,Northern Europe,18,80,1,27,23,2024,10487338.0,5279778.0,5207560.0,54836.8907235124
Breast,Female,Mortality,2022,10.95006444,30.63051423,1.112370264,1356,Switzerland,Switzerland,Western Europe,38,85,1,10,25,2024,8792182.0,4365224.0,4426958.0,94394.5106803525
Breast,Female,Mortality,2022,11.7430766,24.85027446,1.269063155,42211,United States of America,United States of America,Northern America,2237,3892,44,6,638,2024,341534046.0,171672742.0,169861303.0,76657.2488844403
Breast,Female,Mortality,2022,18.7222964,37.61802871,2.131239371,657,Uruguay,Uruguay,South America,12,23,0,0,5,2025,3390913.0,1644412.0,1746501.0,20818.6146091144
Prostate,Male,Mortality,2022,8.229694019,24.41610414,0.6054469393,4708,Canada,Canada,Northern America,52,296,0,14,52,2025,38821259.0,19282356.0,19538904.0,56256.8007264015
Prostate,Male,Mortality,2022,11.31047284,17.91373105,0.8412244216,450,Costa Rica,Costa Rica,Central America,5,12,0,1,1,2025,5081765.0,2512039.0,2569725.0,13625.9008491328
Prostate,Male,Mortality,2022,6.816029361,17.14059293,0.4237599098,77,Cyprus,Cyprus,Western Asia,2,10,0,1,3,2025,1331370.0,670824.0,660545.0,33231.04296875
Prostate,Male,Mortality,2022,10.94267616,28.18941544,0.9360137473,1488,Czechia,Czech Republic,Eastern Europe,36,67,1,30,16,2021,10673213.0,5262083.0,5411131.0,28282.2236715857
Prostate,Male,Incidence,2022,66.0036425,160.1132229,8.517265621,4704,Denmark,Denmark,Northern Europe,8,55,1,8,8,2020,5902904.0,2935843.0,2967061.0,67781.0940939514
Prostate,Male,Mortality,2022,13.93007718,45.50652836,0.9919404372,1336,Denmark,Denmark,Northern Europe,8,55,1,8,8,2020,5902904.0,2935843.0,2967061.0,67781.0940939514
Prostate,Male,Mortality,2022,12.71293783,12.73509583,0.7444056604,1132,Ecuador,Ecuador,South America,12,35,0,0,5,2025,17823897.0,8888825.0,8935073.0,6515.58528418336
