Year,TAC,GammaC,MRI,Mammography,PET,ISO3
2022,0.0,0.0,0.0,0.0,0.0,MEX
2026,6.15,0.89,2.45,129.2,0.24,MEX
2015,18.51,0.0,0.0,158.1,0.0,MHL
2018,19.0,0.0,0.0,0.0,0.0,MHL
2019,0.0,0.0,0.0,142.7,0.0,MHL
2015,0.0,0.0,0.0,0.0,0.0,MKD
2018,0.0,0.0,0.0,79.81,0.0,MKD
2019,6.17,0.95,3.32,79.81,0.0,MKD
2022,0.0,0.0,0.0,0.0,0.0,MKD
2026,6.17,0.95,3.32,79.81,0.0,MKD
2015,0.2,0.07,0.0,5.38,0.0,MLI
2018,0.2,0.065,0.0,0.0,0.0,MLI
2019,0.0,0.0,0.0,5.42,0.0,MLI
2022,0.0,0.0,0.0,0.0,0.0,MLI
2015,9.6,7.2,9.6,108.2,2.4,MLT
2018,9.32,6.99,9.32,0.0,2.33,MLT
2019,0.0,0.0,0.0,99.69,0.0,MLT
2022,0.0,0.0,0.0,0.0,0.0,MLT
2015,0.08,0.06,0.08,0.84,0.0,MMR
2018,0.075,0.056,0.075,0.0,0.0,MMR
2019,0.0,0.0,0.0,0.71,0.0,MMR
2022,0.0,0.0,0.0,0.0,0.0,MMR
2026,0.81,0.13,0.24,2.16,0.037,MMR
2015,9.5,0.0,1.58,137.1,0.0,MNE
2018,16.09,1.61,3.22,0.0,0.0,MNE
2019,0.0,0.0,0.0,196.5,0.0,MNE
2022,0.0,0.0,0.0,0.0,0.0,MNE
2015,8.35,0.73,1.45,39.29,0.0,MNG
2018,8.1,0.7,1.41,0.0,0.0,MNG
2019,0.0,0.0,0.0,33.26,0.0,MNG
2022,0.0,0.0,0.0,0.0,0.0,MNG
2015,0.0,0.0,0.0,0.0,0.0,MOZ
2022,0.0,0.0,0.0,0.0,0.0,MOZ
2015,1.73,0.0,0.87,25.71,0.0,MRT
2018,1.54,0.0,0.77,0.0,0.0,MRT
2019,0.0,0.0,0.0,22.41,0.0,MRT
2022,0.0,0.0,0.0,0.0,0.0,MRT
2015,6.16,2.31,4.62,57.98,0.0,MUS
2018,6.43,2.41,4.82,0.0,0.0,MUS
2019,0.0,0.0,0.0,49.68,0.0,MUS
2022,0.0,0.0,0.0,0.0,0.0,MUS
2015,0.34,0.0,0.07,0.0,0.0,MWI
2018,0.31,0.0,0.061,0.0,0.0,MWI
2019,0.0,0.0,0.0,0.0,0.0,MWI
2015,6.73,0.74,3.03,98.8,0.39,MYS
2018,6.43,0.71,2.89,0.0,0.37,MYS
2019,0.0,0.0,0.0,86.7,0.0,MYS
2022,0.0,0.0,0.0,0.0,0.0,MYS
2015,4.82,0.88,0.88,42.24,0.0,NAM
2018,4.78,0.87,0.87,0.0,0.0,NAM
2019,0.0,0.0,0.0,42.3,0.0,NAM
2022,0.0,0.0,0.0,0.0,0.0,NAM
2015,0.19,0.0,0.0,12.51,0.0,NER
2018,0.17,0.0,0.0,0.0,0.0,NER
2019,0.0,0.0,0.0,10.94,0.0,NER
2015,0.0,0.0,0.0,0.0,0.0,NGA
2018,0.0,0.0,0.0,0.0,0.0,NGA
2022,0.0,0.0,0.0,0.0,0.0,NGA
2015,0.52,0.17,0.17,0.0,0.0,NIC
2018,0.49,0.16,0.16,0.0,0.0,NIC
2022,0.0,0.0,0.0,0.0,0.0,NIC
2015,12.34,10.77,12.22,0.0,2.41,NLD
2018,12.23,10.68,12.11,0.0,2.39,NLD
2022,0.0,0.0,0.0,0.0,0.0,NLD
2026,11.96,10.45,11.85,0.0,2.33,NLD
2015,0.0,0.0,0.0,0.0,0.61,NOR
2018,0.0,0.0,0.0,0.0,0.0,NOR
2022,0.0,0.0,0.0,0.0,0.0,NOR
2015,0.0,0.0,0.0,0.0,0.0,NPL
2018,0.0,0.0,0.0,0.0,0.0,NPL
2022,0.0,0.0,0.0,0.0,0.0,NPL
